name,author,book_attribtes,genre,page_count,ratings_count,average_rating
My Sister's Keeper,Jodi Picoult,"{'page_count': 300, 'genre': ['Fiction'], 'ratings_count': 482, 'average_rating': 4}",['Fiction'],300.0,482.0,4.0
The Golden Compass,Philip Pullman,"{'page_count': 399, 'genre': ['Juvenile Fiction'], 'ratings_count': 3030, 'average_rating': 3.5}",['Juvenile Fiction'],399.0,3030.0,3.5
Harry Potter Series,J.K. Rowling,"{'page_count': 309, 'genre': ['Juvenile Fiction'], 'ratings_count': 1541, 'average_rating': 4.5}",['Juvenile Fiction'],309.0,1541.0,4.5
Holes,Louis Sachar,"{'page_count': 256, 'genre': ['Young Adult Fiction'], 'ratings_count': 65, 'average_rating': 4.5}",['Young Adult Fiction'],256.0,65.0,4.5
Shonen Jump Series,Shueisha,{},,,,
The Shadow Club,Neil Shusterman,{},,,,
Bone Series,Jeff Smith,"{'page_count': 132, 'genre': ['Juvenile Fiction'], 'ratings_count': 18, 'average_rating': 4}",['Juvenile Fiction'],132.0,18.0,4.0
Maus: A Survivor's Tale,Art Spiegelman,"{'page_count': 295, 'genre': ['Biography & Autobiography'], 'ratings_count': 79, 'average_rating': 4.5}",['Biography & Autobiography'],295.0,79.0,4.5
The Joy Luck Club,Amy Tan,"{'page_count': 368, 'genre': ['Fiction'], 'ratings_count': 113, 'average_rating': 4}",['Fiction'],368.0,113.0,4.0
The Lord of the Rings,J R R Tolkien,"{'page_count': 1216, 'genre': ['Fiction'], 'ratings_count': 70, 'average_rating': 4.5}",['Fiction'],1216.0,70.0,4.5
The Hobbit,J R R Tolkien,"{'page_count': 320, 'genre': ['Young Adult Fiction'], 'ratings_count': 9, 'average_rating': 4.5}",['Young Adult Fiction'],320.0,9.0,4.5
Shattered,Eric Walters,"{'page_count': 216, 'genre': ['Genocide'], 'ratings_count': 4, 'average_rating': 4}",['Genocide'],216.0,4.0,4.0
The War Of The Worlds,H G Wells,"{'page_count': 288, 'genre': ['Fiction'], 'ratings_count': 124, 'average_rating': 3.5}",['Fiction'],288.0,124.0,3.5
Dealing with Dragons,Patricia C. Wrede,"{'page_count': 244, 'genre': ['Juvenile Fiction'], 'ratings_count': 68, 'average_rating': 4}",['Juvenile Fiction'],244.0,68.0,4.0
The Chrysalids,John Wyndham,"{'page_count': 224, 'genre': ['Fiction'], 'ratings_count': 7, 'average_rating': 3.5}",['Fiction'],224.0,7.0,3.5
